南瓜子|红宝书必考词U13带背笔记,,,,,
单词,词性,常见含义,考研高频考法,自测例句,巧记方法（仅供参考）
ban,v./n.,禁止,常与on搭配，如ban on smoking（禁烟令）；作动词时，如ban the sale of sth.（禁止销售某物），多涉及政策、规定类内容,Plastic bags are banned here.,发音像颁→ 颁布禁令→ 禁止、禁令
bar,n./v.,酒吧；条；障碍；禁止,作禁止时，如bar sb. from doing sth.（禁止某人做某事）；作名词酒吧时，为常见词汇，也可指法律领域的法庭围栏，如the bar（律师界）,They were barred from entering.,联想酒吧（bar）里的栏杆（bar）能阻挡（bar）人→ 酒吧；栏杆；禁止
bare,adj.,裸露的；仅有的,强调无遮盖的，如bare feet（赤脚）；也可表示仅有的，如the bare facts（仅有的事实）,He gave only the bare facts.,联想bear（熊）→ 熊没毛→ 赤裸的；仅有的
barely,adv.,几乎不；仅仅,常表示几乎不，带有否定含义，如barely escape（险些逃脱）；也可指刚好、仅仅，如barely enough（勉强足够）,He barely passed the test.,bare（仅有的）+-ly（副词）→ 仅仅；几乎不（强调数量少到极限）
bargain,n./v.,便宜货；讨价还价,作名词便宜货时，如a good bargain（物美价廉的商品）；作动词讨价还价时，如bargain with a seller（与卖家讨价还价）,They bargained for a lower price.,谐音八根→ 买八根雪糕→ 讨价还价；便宜货
capable,adj.,有能力的,高频搭配be capable of（有能力做），如capable of solving problems（有能力解决问题），常用来描述人或事物的能力,She is capable of great things.,词根cap（抓）+-able（能…的）→ 能抓住机会的→ 有能力的
capacity,n.,容量；能力,指能力时，如capacity for learning（学习能力）；指容量时，如storage capacity（存储容量）；也可指职位，如in a managerial capacity（以管理身份）,The room has a large capacity.,capable（有能力的）去-ble加-acity（名词后缀）→ 能力；容量
capital,n./adj.,首都；资金；大写字母；首位的,经济类文章中常考资本，如venture capital（风险资本）；也可指首都，如national capital（国家首都）,Write in capital letters.,这个词和首位有关→ 国家的头→ 首都；也指资本（经济的头）
captive,adj./n.,被俘的；俘虏,常表示受控制的，如captive audience（被动观众）；也可指俘虏，如war captives（战争俘虏）,The soldier became a captive.,capt（抓）+-ive（…的）→ 被抓住的→ 被俘的；俘虏
capture,v./n.,捕捉；吸引；占领,作动词捕获时，可指捕捉动物或俘虏敌人；也可表示赢得、获得，如capture first prize（获得一等奖）；还可指占据（注意力），如capture one's attention（吸引注意力）,The photo captured the moment.,capt（抓）+-ure（名词/动词后缀）→ 抓住、捕获；赢得（抓住人心）
career,n./adj.,职业；事业；职业的,常与职业发展相关，如career planning（职业规划）、a successful career（成功的事业），多出现在社会或教育类话题中,She chose a teaching career.,谐音凯里儿→ 凯里儿的职业（career）发展得很好→ 职业、事业
careful,adj.,小心的；认真的,常用搭配be careful with（小心对待）、be careful to do sth.（小心做某事），在完形填空或写作中描述态度,He is very careful when driving.,care（关心）+-ful（…的）→ 关心的→ 小心的、仔细的
case,n.,案例；情况；箱子,高频考查案例、情况，如in this case（在这种情况下）、a typical case（典型案例）；法律类文章中常指案件，如court case（法庭案件）,This is a special case.,联想case（案例）像盒子（case），能装各种情况→ 情况、案例
cast,v./n.,投掷；投票；演员阵容,作动词投掷时，如cast a glance（瞥一眼）；指选派角色时，如cast an actor in a role（选派演员扮演角色）；也可指铸造金属等,She was cast in the lead role.,谐音卡斯特→ 卡斯特投射（cast）影子→ 投射；铸造（金属投射成固定形状）
casual,adj.,随便的；偶然的,形容衣着、态度等，如casual clothes（休闲装）；也可指偶然的，如a casual meeting（偶然的会面）,He wore casual clothes to the party.,cas（=case情况）+ual→ 随情况变化的→ 随意的、偶然的
casualty,n.,伤亡；受害者,常出现在灾难、战争相关文章中，指伤亡人数，如heavy casualties（重大伤亡）；也可指意外损失的事物,There were many casualties in the battle.,casual（偶然的）+-ty（名词）→ 偶然发生的不幸→ 伤亡人员、受害者
catch,v.,抓住；赶上；理解,短语搭配是重点，如catch up with（赶上）、catch on（理解、流行）、catch a cold（感冒），在完形和阅读中高频出现,She caught my meaning quickly.,联想猫（cat）抓（catch）老鼠→ 抓住；赶上（及时抓住机会）
category,n.,类别；种类,常指对事物的分类，如different categories of books（不同类别的书籍），多出现在说明性文章中,Books are divided into categories.,把单词拆成cat + ego + ry——想象一只猫（cat）特别自我（ego），总把东西分成自己的小类别（category）
cater,v.,提供饮食；迎合,高频搭配cater to（迎合），如cater to the needs of customers（迎合顾客需求）；也可指提供餐饮，如cater a party（为派对提供餐饮）,The restaurant caters to all tastes.,联想cat（猫）+er→ 猫迎合（cater）主人需求→ 迎合、满足
cause,n./v.,原因；引起,作原因时，如the cause of the accident（事故原因）；作事业时，如a noble cause（崇高的事业）；作动词导致时，如cause damage（造成损害）,Stress can cause illness.,"发音像考思→ 思考原因（cause）→ 原因；导致（原因引发结果）
"
caution,n./v.,小心；警告,作名词谨慎时，如with caution（谨慎地）；作动词警告时，如caution sb. against danger（警告某人提防危险）,Use caution when driving.,联想caut（小心）+ion→ 小心的状态→ 谨慎、警告
cautious,adj.,谨慎的,常用搭配be cautious about（对……谨慎），如be cautious about making decisions（谨慎做决定），描述态度或行为,He’s cautious with investments.,caution（谨慎）去-ion加-ous→ 谨慎的、小心的
cease,v.,停止,强调彻底停止，比stop更正式，如cease fire（停火）、cease to exist（不复存在），常出现在法律或正式文本中,They ceased all communication.,发音像息事——息事宁人就是停止纷争，所以cease就是停止、终止的意思
celebrate,v.,庆祝,作庆祝时，如celebrate a festival（庆祝节日）；作颂扬时，如celebrate the hero（颂扬英雄），多与文化、事件相关,They celebrated their victory.,celebr（荣誉）+-ate→ 为荣誉而做→ 庆祝、颂扬
celebrity,n.,名人,指名人时，如a Hollywood celebrity（好莱坞名人）；指名望时，如gain celebrity（成名），常出现在娱乐或社会类文章中,The celebrity was interviewed live.,celebrate（颂扬）去-ate加-ity→ 被颂扬的人→ 名人
ceremony,n.,仪式,常指正式的仪式，如wedding ceremony（婚礼）、opening ceremony（开幕式），多与文化、社会活动相关,The ceremony was moving.,cere谐音赛日，mony联想礼仪——赛日（cere）当天的礼仪（mony）活动，就是正式的典礼、仪式
certain,adj.,确定的；某个,表示某一时，后接单数名词，如a certain person（某个人）；表示确定的时，如be certain of success（确信会成功）,A certain Mr. Wang called you.,联想cert（确定）+ain→ 确定的；某一（特定的）
certainty,n.,确定性,常与不确定性对比，如a sense of certainty（确定感）、the certainty of death（死亡的必然性），多出现在哲学或议论文中,There is no certainty of success.,certain（确定的）去-n加-ty→ 确定性、必然的事
certificate,n.,证书,指证书时，如a graduation certificate（毕业证书）、a medical certificate（医疗证明），为常见生活词汇,He received a teaching certificate.,certify（证明）+-cate→ 证明文件→ 证书
certify,v.,证明；颁发证书,常表示官方证明，如certify a document（证明文件有效）；也可指证实，如certify the truth of a statement（证实陈述的真实性）,The test was certified by experts.,词根cert（确定）+-ify（使）→ 使确定→ 证明、证实
decline,v./n.,下降；拒绝,作下降时，如decline in sales（销量下降）；作拒绝时，比refuse更委婉，如decline an invitation（拒绝邀请）；常出现在经济、社会趋势类文章中,Sales declined sharply.,de-（向下）+cline（倾斜）→ 向下倾斜→ 下降；拒绝（态度向下）
decrease,v.,减少；降低,可指数量、程度等的减少，如decrease in population（人口减少）；搭配on the decrease（在减少中），与increase对应考查,Prices decreased last year.,de-（向下）+crease（增长）→ 向下增长→ 减少、降低
decree,n./v.,法令；颁布,指法令时，如issue a decree（颁布法令）；作动词判决时，多用于法律场景，如decree a punishment（判处刑罚）,The law was decreed in 2020.,谐音弟亏→ 弟弟亏了，需要法令（decree）解决→ 法令；颁布
deem,v.,认为；视为,正式用语，相当于consider，如deem it necessary（认为有必要）、be deemed guilty（被视为有罪），常出现在议论文或法律文本中,The plan was deemed effective.,发音像定→ 认定、认为→ 视为、相信
dedicate,v.,致力于；献身,高频搭配dedicate oneself to（致力于），如dedicate oneself to research（致力于研究）；也可指题献，如dedicate a book to sb.（把书题献给某人）,She dedicated her life to science.,de-（强调）+dic（说）+-ate→ 郑重说出→ 致力于、奉献
deduce,v.,推断；演绎,强调通过逻辑推理得出结论，如deduce a conclusion from facts（从事实中推断结论），常出现在逻辑分析类文章中,We deduce the result from data.,de-（向下）+duce（引导）→ 向下引导推理→ 推断、演绎
deduct,v.,扣除；减去,多指扣除（款项等），如deduct tax from salary（从工资中扣税）；也可表示逻辑上的演绎，但较少考查,Fees will be deducted monthly.,de-（去掉）+duct（引导）→ 引导去掉→ 扣除、减去
fashion,n.,时尚；形成,作时尚时，如follow fashion（追随时尚）；作方式时，如in a new fashion（以新的方式），常与文化、社会话题相关,She fashioned a tool from wood.,谐音非凡神→ 非凡的神引领时尚→ 时尚；方式（做事的范儿）
fashionable,adj.,流行的,形容服饰、观念等，如fashionable clothes（时髦服装）、a fashionable idea（流行的观点），多出现在生活类文本中,These shoes are very fashionable.,fashion（时尚）+-able→ 时尚的、流行的
favour,n./v.,支持；喜爱；偏袒,作名词恩惠时，如do sb. a favour（帮某人忙）；作动词支持时，如favour a proposal（支持一项提议），注意英式拼写（美式为favor）,She favors smaller classes.,联想fav（=love爱）+our→ 喜爱；帮助（出于喜爱）
favorable,adj.,有利的,表示有利的时，如favorable conditions（有利条件）；表示赞成的时，如a favorable attitude（赞成的态度），高频考查,The report was favorable to the plan.,favour（喜爱）+-able→ 让人喜爱的→ 有利的、赞成的
favourite,adj./n.,最喜欢的；特别喜爱的人/物,日常用词，如one's favourite book（某人最爱的书），注意英式拼写（美式为favorite）,Pizza is his favourite.,favour（喜爱）+-ite（最…的）→ 最喜爱的人或物
sit,v.,坐；就座,短语搭配是重点，如sit down（坐下）、sit for an exam（参加考试）、sit on a committee（任职于委员会）,She sat at the desk all day.,简单词，联想坐下（sit）休息，搭配sit for（参加考试）
site,n./v.,地点；场所；设置,指场所时，如a construction site（建筑工地）；指网站时，如a website（网站）；作动词选址时，如site a new school（为新学校选址）,The school is sited on a hill.,sit（坐）换e→ 坐的地方→ 场所、地点；网站（虚拟的场所）
situate,v.,使位于；安置,常用被动语态be situated（位于；处于），如a town situated on a hill（位于山上的小镇）、be situated in a difficult position（处于困境）,The school is situated near the park.,site（地点）+-uate→ 使处于某个地点→ 使位于、使处于
situation,n.,情形；局势,高频考查形势、情况，如current situation（当前形势）、economic situation（经济状况）；也可指处境，如a difficult situation（困境）,He handled the situation well.,situate（使处于）+-ion→ 处于的状态→ 情况、处境
skeleton,n.,骨架；框架,指框架、概要时，如a skeleton of a plan（计划的概要）；指骨骼时，为基础词汇，如human skeleton（人体骨骼）,We saw the skeleton of the plan.,skele谐音死壳，ton是吨—— 想象一具死壳（skele）般的、重一吨（ton）的骨架，正好对应骨骼、骨架的意思再延伸到框架、概要
skeptical,adj.,怀疑的,常用搭配be skeptical about（对……怀疑），如be skeptical about the new theory（对新理论持怀疑态度），多出现在议论文中,I’m skeptical of his claim.,联想skept（怀疑）+ical→ 怀疑的，搭配be skeptical about（对…怀疑）
sketch,n./v.,素描；草图；简述,作概要时，如a sketch of the story（故事梗概）；作动词概述时，如sketch a plan（概述计划）；也可指素描，为艺术相关词汇,She sketched the idea quickly.,谐音死盖尺→ 用尺子快速画→ 草图、素描；概述（快速勾勒核心）
